文本,SARA与仇恨言论,亵渎宗教,淫秽色情与违背风俗,网络赌博,诽谤网暴与勒索,虚假信息与谣言,分裂与极端主义,理由(法律与法规),本地黑话与违规关键词
"USER Bolot aja biar legenda'",0,0,0,0,0,0,0,关于“bolot（反应慢/聋）”的网络迷因或玩笑讨论，不具攻击针对性，合规,bolot
"USER USER USER USER Bukan dungu IDIOT setambak'",0,0,0,0,1,0,0,直接的人身攻击与智商羞辱。使用“IDIOT”贬低对方群体或个人，属于语言暴力,IDIOT
"USER Bacot apanya, gue ngulang perkataan gue gegara lu budek'",0,0,0,0,1,0,0,网络对骂。使用“bacot（满嘴废话）”和“budek（聋子）”攻击对方，构成网络骚扰,"bacot, budek"
"USER USER apaan goblog ga nyambung'",0,0,0,0,1,0,0,直接的人身攻击。因为对方言论不合逻辑而辱骂其为“goblog（愚蠢）”，构成语言暴力,goblog
"USER USER USER USER Gak usah sok bijak. Smua mata sdh liat gimana kebobrokan hukum saat ini. Rakyat sdh bisa menilai loh. Gk bego. Kita lihat nanti #2019GantiPresiden'",0,0,0,0,0,0,0,政治立场表达与法律质疑。用户陈述“民众不傻（Gk bego）”，不构成对特定个人的攻击，属于合规的言论自由,bego
"USER APA GW HRS NULIS JAEMIN X GLADYS LAGI ADHKSLAPWJE BENER BENER UDAH SINTING'",0,0,0,0,0,0,0,饭圈文学讨论。使用“sinting(疯了/狂热)”表达对同人文情节的激动情绪，非人身攻击，合规,sinting
"USER Iya lu babi nya cif wkw'",0,0,0,0,0,0,0,朋友间的日常打趣。“babi(猪)”在此作为亲昵或开玩笑的称呼，配合“wkw(笑声)”，通常判定为安全,babi
"USER Bener juga lu bangke'",0,0,0,0,0,0,0,非正式的赞同。使用“bangke(死尸/混蛋)”作为语气加强助词，常见于印尼年轻人间的亲密对话，合规,bangke
"USER Hadeh hadeh gembel dilarang masuk'",0,0,0,0,0,0,0,日常感叹或自嘲。使用“gembel(乞丐/穷人)”形容某种卑微状态或调侃规则，不构成定向歧视，合规,gembel
"USER USER buat lo anjy\n\nmasa gw sama bencong'",0,0,0,0,1,0,0,涉及性别偏见。使用性别贬义词“bencong(跨性别者/娘娘腔)”来表达排斥感，触犯反霸凌与歧视规范,bencong
"USER Iya anjir gue kira itu ceweknya bakal nonjok'",0,0,0,0,0,0,0,日常剧情讨论。使用语气助词“anjir”表达惊讶，完全合规,anjir
"USER Aaaaaaa sakit tapi tydak berdarah \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad. Ini yg ngerettwet kampret yaaa.'",0,0,0,0,0,0,0,表达被开玩笑后的“心碎”感。称呼转发者为“kampret(讨厌鬼)”属于无恶意的打趣，合规,kampret
"USER ganteng ganteng sarap \xf0\x9f\x98\x82'",0,0,0,0,0,0,0,正面赞美与调侃。形容某人“帅气但性格脱线(sarap)”，属于饭圈常用语，完全合规,sarap
"USER ABISAN TUH MEREKA NGOMONGNYA KENAPA LANCAR BANGET GITULOH GAADA CANGGUNG SAMSEK GATAU APA KALO YG NONTON SENYAM SENYUM SENDIRI KEK ORANG IDIOT'",0,0,0,0,0,0,0,描述观看甜甜互动时的自我状态。使用“idiot”自嘲看得入迷时的傻样，非智商羞辱，合规,idiot
"USER USER Bacot lu'",0,0,0,0,1,0,0,直接且粗鲁地让对方闭嘴（bacot），属于轻度网络骚扰与不友善言论,bacot
"USER jotef, item boleh brengsek jangan. \n\nWKWK GAK. :0'",0,0,0,0,0,0,0,关于择偶观或性格的日常闲聊。虽然提到肤色（item）但配合笑声表示开玩笑，主要针对性格（brengsek）的调侃，合规,brengsek
"USER USER USER Iya betul si vivin tai !!! Dasar pelakor,,,ngaku"" alexa alda drpd rico bajingan lo neraka'",0,0,1,0,1,0,0,严重的定向攻击。涉及“pelakor(小三)”这一具有荡妇羞辱性质的指控，并使用严重脏话进行辱骂,"tai, pelakor, bajingan"
"USER USER Ah masa iya? Kata siapa bawa-bawa agama udah gabisa berkata-kata? Justru karna gua cerdas makanya gua bawa-bawa tuh agama, nah itu lu tau sekecil apapun kata goblok tetap terlihat olehNya, lalu gimana lu? Udah slutsharming, udah ga respect sesama manusia, heran saya'",0,0,0,0,0,0,0,关于网络道德与宗教的深度讨论。虽然包含敏感词，但其意图是在反思网暴行为，属于合规辩论,goblok, slutshaming
"USER gak brengsek. cuma brisik. dan genit...(eh gatau deh) LOL.'",0,0,0,0,0,0,0,日常评价他人性格。词汇使用在正常社交范围内，无恶意攻击，合规,brengsek
"USER Bener anjir, sedih'",0,0,0,0,0,0,0,表达共鸣。使用语气助词“anjir”加强悲伤情绪，完全合规,anjir
"USER Ooo camtu.. Biasalah kena seimbang.. Ada baik ada nakal, ada kucing ada anjing, ada abang ada lain-lain, ada darkside ada brightside.. Tak chill dan tak sosial la kalai takde pelengkap.. Kahkahkah.. K bang selamat maju jaya.. Dah terjawab persoalan saya.. Terima kasih..'",0,0,0,0,0,0,0,哲学式总结或告别。提及动物为正常比喻，语境非常礼貌且友好，完全合规,anjing
"USER USER Eh bencong gak usah fitnah fitnah luh ya'",0,0,0,0,1,0,0,使用性别蔑称“bencong(死人妖)”进行反击与警告，属于定向霸凌与歧视,bencong
"USER Kasar bacot lo nying'",0,0,0,0,1,0,0,网络对骂。使用“bacot”和动物脏话“nying(anjing的变体)”辱骂他人，构成言语暴力,"bacot, nying"
"USER Apa kau bbual sompret'",0,0,0,0,0,0,0,对他人言论的轻度怀疑。语气词“sompret(可恶/讨厌)”属于无恶意的日常俚语，合规,sompret
"USER Hanya membaca dn tai aja'",0,0,0,0,0,0,0,由于打字错误或极其简略的表达。虽然包含“tai”，但在缺乏上下文且明显非攻击的情况下通常放行,tai
"USER USER USER USER USER USER USER USER Cinta itu emg buta \xf0\x9f\x98\x82 terkadang cinta itu buat org yg telinganya bagus jdi budek dan terkadang cinta itu buat org tadinya otaknya normal jadi bloon \xf0\x9f\x98\x82 \n\nBye ah \xf0\x9f\x91\xb",0,0,0,0,0,0,0,关于爱情本质的幽默感叹。使用“budek(聋)”和“bloon(傻)”作为修辞比喻，并非针对个人的恶意攻击，完全合规,"budek, bloon"
"USER Kau kan suka anjing. \xf0\x9f\x98\x82",0,0,0,0,0,0,0,正常的日常陈述或朋友间的玩笑。提及动物“狗(anjing)”且配有笑脸表情，无侮辱意图，合规,anjing
"USER ga ngerti lu ngetik apa, iyain aja daripada makin bego gua wkwk'",0,0,0,0,0,0,0,日常交流中的自我调侃。使用“bego(蠢)”自嘲，不涉及对他人的攻击，属于安全的社交互动,bego
"USER pengen ane emut emut say memek sexynyaa",0,0,1,0,0,0,0,极其露骨的性行为描写与性骚扰。使用女性生殖器脏话(memek)，严重违反《反色情法》及违背风俗条款,"emut, memek, sexy"
"USER Ftv gitu ya judulnya Monyet Cantik dan Majikannya. Bodor wkwkwkwk.",0,0,0,0,0,0,0,讨论影视剧作品内容。其中的“Monyet Cantik”是剧名的一部分，语境为讨论剧情滑稽，合规,Monyet Cantik
"USER USER ASTAGA BOLOT BANGET DIA",0,0,0,0,1,0,0,针对他人的反应迟钝进行大声嘲讽。使用残疾相关贬义词“BOLOT(聋子/迟钝)”，构成网络骚扰,BOLOT
"USER Ngabisa ! Brengsek dia !!!!!!!!",0,0,0,0,1,0,0,针对具体个人的情绪化辱骂。使用贬义词“brengsek(混蛋)”，属于典型的言语暴力,Brengsek
"USER Tidur bolot",0,0,0,0,1,0,0,带有冒犯性的命令语气。使用贬义词“bolot”称呼对方，属于轻度人身攻击,bolot
"USER JANGAN MARAH KAK TAR BERUBAH JADI MONYET LAGI",0,0,0,0,0,0,0,朋友间带有调侃性质的劝慰。虽然提及“monyet”，但在特定幽默语境下不判定为网暴，合规,MONYET
"USER Gua kaga pernah ngomong kasar, paling goblok doang'",0,0,0,0,0,0,0,关于个人用语习惯的自我陈述。虽然提到了脏话“goblok”，但仅作为举例说明，合规,goblok
"USER Coba kalau adek perempuan kamu di gituin...bisa terima gak..?..tolol",0,0,0,0,1,0,0,涉及家庭成员的道德质问并伴随人身攻击。使用“tolol(愚蠢)”辱骂对方，构成网络霸凌,tolol
"USER Jadi ingat iblis ketika manusia diciptakan SM Allah.",0,0,0,0,0,0,0,提及宗教叙事（人类被造时恶魔的反应）。属于正常的宗教话题讨论，不含攻击性，合规,"iblis, Allah"
"USER Karena sekarang banci juga merokok",0,0,0,0,0,0,0,泛指社会现象的陈述。词汇“banci”虽带贬义，但在该句中未表现出明确的定向攻击或歧视意图，属灰色地带,banci
"USER Nyatanya rakyat makin susah menteri perek daya beli hancur USER setan iblis tukang tipu",0,0,1,0,1,0,0,极其恶劣的政治攻击与性别侮辱。使用针对女性的严重蔑称“perek(妓女)”攻击部长，触犯反霸凌与反色情红线,"perek, setan, iblis"
"USER Gak ada gunanya berdebat...klo tujuannya semata mata hanya ingin mempengaruhi citra menjadi baik atau buruk..baik dan buruk itu bukan pakai bacot..hanya setanlah yg mengucapkan kebencian agar orang terpengaruh...muak lihat tingkah polah mereka..",0,0,0,0,0,0,0,针对网络乱象的反思与批评。虽使用了“bacot”和“setan”，但意在呼吁停止仇恨，属于正面引导，合规,"bacot, setan"
"USER harap maklum aja pak. pembuat isu itu selain udah Toku medekati idiot juga \xf0\x9f\x98\x9d",0,0,0,0,1,0,0,针对特定人群（造谣者）的年龄歧视与人身攻击。使用“Toku(老头子)”和“idiot”进行辱骂,"Toku, idiot"
"USER bacot kamu pecun",0,0,1,0,1,0,0,严重的语言暴力与荡妇羞辱。叠用粗口“bacot”和针对性工作者的蔑称“pecun”定向攻击他人,"bacot, pecun"
"USER Alhamdullilah masih banyak orang tolol di twitter, aku jd kelihatan pintar.",0,0,0,0,1,0,0,针对群体的高傲嘲讽。辱骂广大用户为“tolol(愚蠢)”，属于网络不友善言论,tolol
"USER Gini ya, Lucas punya dua racun. Mau dia yang lagi bener(beneran cakep nya) atau racun sarap nya?\n\nMon maap, gue keracunan sarap nya'",0,0,0,0,0,0,0,饭圈赞美用语。使用“sarap(精神病/脱线)”形容偶像极具反差的搞笑魅力，属于褒义词用，合规,sarap
"USER NAPA KALO UDAH TOLOL JANGAN DILIATIN TOLOLNYA JADI MALU2IN KAN WKWKWK",0,0,0,0,1,0,0,大写字母施压且反复进行智商羞辱。辱骂他人“TOLOL(愚蠢)”，构成典型的网络霸凌,TOLOL
"USER Tolong dong orang bego gak usah dikasih lapak min'",0,0,0,0,1,0,0,向管理员投诉，要求不给“bego(笨蛋)”发言平台，属于针对个人的智商羞辱与网络骚扰,bego
"USER ngakakakakaka bete banget asu'",0,0,0,0,0,0,0,日常情绪表达。其中的“asu(狗)”在此作为表达沮丧或感叹的口语助词，无定向攻击对象，合规,asu
"USER Wedus gembel\n\nAku siram air bisa bikin seger kan'",0,0,0,0,0,0,0,描述自然现象。其中的“Wedus gembel”是当地对火山碎屑流的特有称呼，无贬义攻击意图，完全合规,Wedus gembel
"USER Ribut lo tai'",0,0,0,0,1,0,0,直接的人身攻击。使用排泄物词汇“tai(屎)”辱骂他人，构成网络骚扰,tai
"USER Kemarin ahok nyebut bangsat,emang ada orangnya yg kelakuannya ngisep darah rakyat.\n\nSekarang yg disebut goblog,,ditanya siapa orangnya malah cuma nuduh2 aja'",0,0,0,0,0,0,0,关于政治人物言论的公共讨论。引用他人曾说过的“bangsat”和“goblog”进行评论，未直接网暴用户，合规,"bangsat, goblog"
"USER USER Huehue si mahfud md udah ngikutin Geng si wowok dan oposisi tolol'",0,0,0,0,1,0,0,政治立场攻击。使用“tolol(愚蠢)”辱骂政治人物及其阵营，属于不友善言论,tolol
"USER Anjir ngakak :('",0,0,0,0,0,0,0,日常惊讶与好笑的情绪表达。“anjir”为印尼年轻人高频使用的中性口头禅，完全合规,anjir
"USER OHH SI KUNYUK ITU'",0,0,0,0,1,0,0,针对特定对象的贬低。使用动物贬义词“kunyuk(猴子/小崽子)”指代他人，构成轻度人身攻击,kunyuk
"USER Parfum tai ayam kan pasti?'",0,0,0,0,0,0,0,日常幽默调侃。使用习语“tai ayam(鸡屎)”进行比喻（意指三分钟热度或特定异味），无网暴意图，合规,tai ayam
"USER USER USER USER USER USER Anjir mainan jaaman sd \xf0\x9f\x91\x8c'",0,0,0,0,0,0,0,关于童年回忆的良性互动。使用“anjir”表达对旧物重现的惊喜，完全合规,anjir
"USER Ia tidak memperdulikan ocehan laki-laki didepannya itu, kenapa hari ini ia bertemu laki laki ini? Padahal UI sangat luas dan dari sekian banyak mahasiswa, mengapa harus Alan?\n\n""Bodo amat gue gak denger, gue pake headset,"" ucapnya tidak perduli, lalu mengikuti langkah kaki +'",0,0,0,0,0,0,0,文学/小说创作片段。其中的“Bodo amat(随便/不在乎)”属于刻画角色性格的对白，无现实攻击性，合规,Bodo amat
"USER Percuma gak perlu di ingetin bang USER klo orang di hatinya sudah tertanam sifat dan ajaran iblis orang itu pastin lntolerans. Dan dia Akan mngadu domba. Tabur kebncian. Sara dll'",0,0,0,0,0,0,0,谴责不宽容行为的正面言论。虽然使用了“iblis(恶魔)”，但意在批评挑唆和仇恨行为，不属于违规，合规,iblis
"USER bangke lu yen cabul'",0,0,1,0,1,0,0,针对个人的直接侮辱。指责他人“cabul(猥亵/色情)”并辅以脏话“bangke”，严重违反反霸凌准则,"bangke, cabul"
"USER USER USER Udah Kodrat: PECUN-dang emg paling pinter cari alasan\xf0\x9f\x98\x82'",0,0,1,0,1,0,0,恶毒的文字游戏。恶意拆分“pecundang(失败者)”并联想“pecun(妓女)”，构成严重的荡妇羞辱与人身攻击,pecun
"USER USER Goblok sia kunyuk'",0,0,0,0,1,0,0,粗鲁的言语暴力。叠用智商羞辱“goblok”和动物贬义词“kunyuk”，属于典型的网络霸凌,"goblok, kunyuk"
"USER USER Weh kunyuk \xf0\x9f\x98\x82'",0,0,0,0,0,0,0,熟人间的亲昵打趣。虽然用了贬义词“kunyuk”，但配合笑声表情且语境轻松，通常判定为合规,kunyuk
"USER UWOY JADI BENCONG JUGA HAHAHAHA \xf0\x9f\x98\xad'",0,0,0,0,1,0,0,使用性别蔑称“bencong(人妖/娘娘腔)”对他人进行恶意嘲笑，涉及性别歧视与网络骚扰,bencong
"USER Anjir covernya sama wkwk'",0,0,0,0,0,0,0,日常分享与惊喜表达。“anjir”作为高频中性语气助词，不构成违规,anjir
"USER USER USER USER USER USER USER USER USER USER USER USER Ah bacot, dasar sok alim lu. Manusia itu gak ada yg sempurna. Jangan sok alim jadi orang.'",0,0,0,0,1,0,0,激烈的言论冲突。指责他人“sok alim(装清高/伪善)”并使用粗口“bacot”，属于语言骚扰,"bacot, sok alim"
"USER USER Aku gr baru tau kemarin si banci eta trh wkwkwk'",0,0,0,0,1,0,0,使用性别贬义词“banci”对特定人物进行指点和议论，属于网络不友善言论,banci
"USER USER BACOT YA KALIAN",0,0,0,0,1,0,0,直接辱骂对方“废话多/闭嘴(bacot)”，属于典型的网络骚扰,bacot
"USER Tiap berkicau makin keliatan tolol dan gobloknya, lbh tolol lg yg milih dia",0,0,0,0,1,0,0,针对政治立场或特定个人的智商羞辱。连续使用“tolol”和“goblok”辱骂他人及其支持者,"tolol, goblok"
"USER Bolot wkwkwk tipo",0,0,0,0,0,0,0,朋友间的日常互动。因打错字(typo)而进行的玩笑式自嘲或吐槽，无恶意，合规,bolot
"USER KALO ITU GW JUGA TAU + GAK NANYA BOLOT",0,0,0,0,1,0,0,在对话中使用智力/感官贬义词“BOLOT(聋子/迟钝)”攻击他人，构成网络骚扰,BOLOT
"USER USER USER ketika USER tidak berhasil menyodorkan prestasi tokohnya, tdk ada prestasi partainya, maka yg muncul adalah aksi menjelek-jelekkan lawan. Ksihan si manis tp bego USER diperalat syahwat kekuasaan!!'",0,0,0,0,1,0,0,涉及政治权力斗争的人身攻击。使用“bego(蠢)”贬低他人，属于不友善言论,bego
"USER EH PEREK... GUE BALIK LU HIATUS, TAIK",0,0,1,0,1,0,0,严重的性侮辱与荡妇羞辱。使用针对女性的严重蔑称“PEREK(妓女)”进行攻击，严重违规,"perek, taik"
"USER Omongan mu rusak..Dasar KontoL",0,0,1,0,1,0,0,直接使用严重的生殖器脏话“KontoL(阴茎)”辱骂他人，违反反色情与反霸凌准则,KontoL
"USER USER USER Wajah anak lo Kliatan Bgt ya!! Penuh dendam dan kebencian! Pasti anak anak lo makan dari hasil uang haram. Bapaknya kayak lo!! Banci dan rumpi!!! Lo ngatain gue makan tai?? Nah lo dan istri serta anak anak dan ortu lo makan bangke uang haram!! Najis!! Dasar banci",0,0,0,0,1,0,0,极恶劣的家庭成员攻击与性别侮辱。辱骂他人子女及其家人，并叠加使用性别贬义词“Banci”，属于严重的网络暴力,"banci, bangke, tai"
"USER USER USER Wajah anak lo Kliatan Bgt ya!! Penuh dendam dan kebencian! Pasti anak anak lo makan dari hasil uang haram. Bapaknya kayak lo!! Banci dan rumpi!!! Lo ngatain gue makan tai?? Nah lo dan istri serta anak anak dan ortu lo makan bangke uang haram!! Najis!! Dasar banci",0,0,0,0,1,0,0,同上（重复条目），属于严重违规内容,"banci, bangke, tai"
"USER USER Yang perek kan ibu lo.. gimana sih.. pasti sdh dool ya",0,0,1,0,1,0,0,极度恶劣的家庭成员羞辱（Your Mom joke变体）。使用“perek(妓女)”攻击他人母亲，严重违反社区准则,"perek, ibu lo"
"USER USER Arseto itu monyet ngak tahu adab dan moral",0,0,0,0,1,0,0,人身攻击。将他人比作动物“monyet(猴子)”并指责其缺乏教养，属于网络霸凌,monyet
"USER USER USER Tolol sekali anda ini? Ngaji dimana kau ini kl agama islam sprti itu? Ketahuan ini orang ngajinya sm orang ngk jelas ini?'",0,1,0,0,1,0,0,结合宗教语境（Ngaji/诵经）的智商羞辱。使用“Tolol”攻击他人的宗教认知，构成不友善言论,tolol
"USER bajingan anda USER",0,0,0,0,1,0,0,直接的人身攻击。使用严重脏话“bajingan(混蛋)”辱骂他人,bajingan
"...aku udik bangat si emang bisa gitu y di ta wan :(",0,0,0,0,0,0,0,无恶意的自嘲表达。使用“udik(乡巴佬/老土)”形容自己，不构成违规,udik
"USER Nyetir apaan. Orang mobil di depan aja ga bergerak, idiot. Windy semakin kesal karna Yoga yang sangat tidak peka akan kondisi perutnya saat ini. Ia lalu diam dan menatap ke depan.'",0,0,0,0,0,0,0,文学/小说对白片段。词汇“idiot”出现在虚构角色的对话中，用于表现角色情绪，合规,idiot
"USER USER Lebih baik d jajah china dr pada di jajah arab... Kebanyakn aturan.... Kl g jual aja negaranya sm AS biar yg banyak bacot lansung di tebas... Jangan sok suci, jangan munafik jd orang koar2 dank bisanya...'",1,1,0,0,1,0,0,带有种族与宗教对立色彩的仇恨言论（SARA）。涉及对特定族群的偏见攻击并包含粗口,“china, arab, bacot”
"USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER Lah emang sekarang presiden nya prabowo ,tolol boleh goblok kurangi ,'",0,0,0,0,1,0,0,针对政治局势的言语攻击。使用“tolol”和“goblok”辱骂他人，属于典型的网络暴力,"tolol, goblok"
"USER udah jelek, budek lagii :( .nga",0,0,0,0,1,0,0,综合性的人身攻击。同时针对外貌(jelek)和生理/生理缺陷贬义词(budek/聋)进行羞辱，属于网络霸凌,"jelek, budek"
"USER Udah ga pusing lagi? Ayo ntar fc monyet",0,0,0,0,0,0,0,年轻人间的日常黑话。“fc monyet”通常指好朋友间搞怪或模仿猴子表情的视频通话，无恶意，合规,fc monyet
"USER USER Siapa bilang dia ustadz,pembual,sinting dia",0,1,0,0,1,0,0,针对宗教身份的攻击与名誉诋毁。指责他人是“sinting(疯子)”和“pembual(吹牛者)","ustadz, sinting"
"USER USER Dasar bencong.....!!!'",0,0,0,0,1,0,0,使用性别贬义词“bencong(人妖/娘娘腔)”对特定个人进行侮辱，违反反霸凌与歧视规范,bencong
"USER USER Media pura2 bego dan ajak2 bego orang lain, namanya pembodohan. Parah!!!'",0,0,0,0,1,0,0,指责媒体“装傻(pura-pura bego)”并误导大众，属于网络不友善言论与轻度骚扰,bego
"USER Lawan!!! Bangke smua dipiara penguasa. #2019GantiPresiden'",0,0,0,0,1,0,0,涉及政治立场的激烈抗议。使用“bangke(死尸/烂货)”攻击执政方，构成网络不友善言论,bangke
"USER Mengadu ke Allah agar para pemimpin yang bejat,bangsat,bajingan segera bertaubat kepada Allah dan kembali ke jalan Allah.'",0,0,0,0,1,0,0,虽带有宗教语境（向真主祈祷），但使用了“bejat(堕落)”、“bangsat(畜生)”等脏话辱骂领导人，属于不文明言论,"bejat, bangsat, bajingan"
"USER tangkap dan bunuh saja itu bajingan...prcma klo ngarep ama """"penegak hukum""""'",0,0,0,0,1,0,1,含有明确的暴力暗示与威胁（bunuh/杀掉），并指责法律无效，违反反暴力规范,"bunuh, bajingan"
"USER Arseto..ini kunyuk yg sedang cari panggung...'",0,0,0,0,1,0,0,针对特定个人的人身攻击。使用动物贬义词“kunyuk(猴子)”嘲讽其想出名，构成网络骚扰,kunyuk
"USER typingnya ganteng ga banci. jago dikit dong'",0,0,0,0,1,0,0,带有性别歧视的刻板印象。使用“ga banci(不像人妖)”来衡量“帅气”，属于针对性别的贬低言论,banci
"USER USER USER USER USER Wkwkwk.. Si mantan ustad, di ILC keliat goblok masih ga sadar didumay..,sakit perut gw liat nya'",0,1,0,0,1,0,0,针对前宗教人士（Ustad）的智商羞辱。称其在电视节目中表现“goblok(极其愚蠢)”，构成网络霸凌,goblok
"USER USER USER USER USER USER USER USER USER USER USER USER Gw tuduh lo anak babi. Yuk buktikan lo anak orang dengan tes dna ya. Cepat. G pake lama'",0,0,0,0,1,0,0,极其恶毒的出身侮辱。辱骂对方是“猪的孩子(anak babi)”并挑衅做DNA测试，属于严重的网络暴力,anak babi
"USER USER USER USER BANCI KALENG MALU GA BISA JAWAB PERTANYAAN KAMI DARI 2 HARI LALU.... NYUNGSEP KOE USER URL",0,0,0,0,1,0,0,使用性别贬义词“BANCI KALENG(假人妖/胆小鬼)”进行大写字母施压辱骂，构成定向网暴,BANCI KALENG
"USER USER USER Kyanya ijin pemerinth setempat yg goblog kasih ijin'",0,0,0,0,1,0,0,对政府许可政策的行政批评。由于使用了“goblog(愚蠢)”一词，被归类为不友善言论,goblog
"USER Gak aneh. Katakita adminnya si Ade Armando. Jadi gak heran bikin meme tolol macam ini.'",0,0,0,0,1,0,0,针对特定公众人物或管理员的人身攻击。称其制作的梗图“tolol(白痴)”，属于不友善言论,tolol
"USER kalau waria sih ada harganya daripada yang bencong asal pegang pas tidur~~\n\nNGAHAHAHAHA'",0,0,0,0,1,0,0,对跨性别/易装群体的恶意嘲笑。通过对比贬低“bencong”，触犯了针对特定人群的歧视条款,bencong
"USER pas di cari ga nemu tpi bunyi mulu anjir'",0,0,0,0,0,0,0,日常口语吐槽。使用“anjir”作为语气助词表达无奈，无定向攻击，合规,anjir
"USER Astagaaa.. Sewa pecun skalian ga pak?'",0,0,1,0,1,0,0,涉及色情与侮辱。使用针对性工作者的蔑称“pecun(妓女)”进行讽刺，违反反霸凌与反色情规范,pecun
"USER Memek nya gk klihatan'",0,0,1,0,1,0,0,露骨的性器官词汇使用（memek/阴道）。在不当语境下指代生殖器，严重违规,memek
"USER DPR DPRD jancok asu aanjing babi kontol jembut bajingan bangsat tempek gendeng taeeekkk banci'",0,0,1,0,1,0,1,高强度脏话堆砌。包含了性器官、动物、政治、智商等几乎所有类别的印尼本土脏话，严重违规,"jancok, asu, kontol, jembut, tempek"
"USER Kecebong bajingan'",0,0,0,0,1,0,0,使用政治极化蔑称“Kecebong(小蝌蚪/执政党支持者)”并配以脏话，属于典型的政治性网暴,Kecebong
"USER Apa kbr memek tembem..'",0,0,1,0,1,0,0,直接针对他人的性骚扰。使用露骨的生殖器词汇进行搭讪，严重违反社区准则,memek
"USER AHAHAHAHAHA CAPEK.\n\nGua kira video 13 detik dia beneran ngomong, kampret.'",0,0,0,0,0,0,0,日常幽默表达。使用“kampret(该死/真见鬼)”表达被恶作剧后的惊讶，无攻击意图，合规,kampret
"USER Mcm babi sial haaaa aku marah nii",0,0,0,0,0,0,0,情绪化发泄。包含动物脏话(babi)和诅咒词(sial)，多为个人表达愤怒而非定向网暴，合规,"babi, sial"
"USER Kalo mau buat hoax yg pinter dikit dong...udah dungu jgn bego...kasian ntar pengikut nya ikutan dungu dan tolol\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x89\xf0\x9f\x98\x89\xf0\x9f\x98\x89\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82",0,0,0,0,1,0,0,针对特定内容（造谣者）的智商羞辱。连续使用“dungu”、“bego”和“tolol”辱骂，构成网络骚扰,"hoax, dungu, bego, tolol"
"USER USER Bego ah budek \xf0\x9f\x98\x91",0,0,0,0,1,0,0,直接的人身攻击。叠加使用智力贬义词(bego)与生理缺陷词(budek/聋)进行辱骂，违规,"bego, budek"
"USER ya allah sejak kapan lu jadi babi dek??!!!! \n\ngpp ini maljum..giliran gue jaga lilin",0,0,0,0,0,0,0,熟人间的打趣玩笑。虽然使用了“babi”，但在“守蜡烛(jaga lilin/发财梗)”语境下属于非恶意调侃，合规,"babi, jaga lilin"
"USER Sekolah yg bener jangan minta free class mulu nik, tar bego kayak gw\xf0\x9f\x98\x82'",0,0,0,0,0,0,0,无恶意的自嘲表达。用户称自己“bego(笨)”，不涉及对他人的攻击，属于安全的社交互动,bego
"USER Bajingan la bukan banjingan",0,0,0,0,0,0,0,关于词汇拼写的讨论。虽然“Bajingan”是严重脏话，但此处语境为纠正拼写，非定向辱骂，合规,Bajingan
"USER Ini lo mau sarkas apa emang bego si?",0,0,0,0,1,0,0,带有敌意的质疑。使用“bego(蠢)”攻击对方智商，属于轻度不友善言论,bego
"USER Makannya, kalo mau bacot mikir pake OTAK. Lu punya HATI+AKAL PIKIRAN gak? Gimana Kalo DUIT Keluarga lu, hasil nabung bertahun2 ternyata keluarga lu di tipu ABU TOURS. GOBLOK boleh, TOLOL pilihan'",0,0,0,0,1,0,0,针对社会诈骗事件的情绪化爆发。包含大量智商羞辱词汇(goblok, tolol)和粗口，属于语言暴力,"bacot, goblok, tolol"
"USER kok gembel beneran cantik juga wkw\n\nyah baru mau dimintain makan",0,0,0,0,0,0,0,带有调侃性质的赞美。使用“gembel(乞丐)”作为亲昵或戏谑的称呼，无恶意，合规,gembel
"USER USER USER Napi ya napi..gak beda ya...jangan tolol sok bela penista agama...statusnya sama dengan napi lain bong..!!hehe",0,1,0,0,1,0,0,政治宗教对线。使用“tolol”和政治蔑称“bong”攻击异见者，触犯反霸凌规范,"tolol, penista agama, bong"
"USER Eh kunyuk.. Aku nih udh kuliah lohh.\nKmu anak sma ya? \xf0\x9f\x98\x85",0,0,0,0,0,0,0,带有优越感的玩笑互动。使用“kunyuk(小猴子/崽子)”称呼对方，在特定语境下属于熟人打趣，合规,kunyuk
"USER USER USER USER Muke lo mirip kontol monyet",0,0,1,0,1,0,0,极度恶劣的人身攻击。结合了动物脏话与生殖器词汇(kontol)进行外貌羞辱，严重违规,"kontol, monyet"
"USER Yg kunyuk kunyuk ini yg heboh prof ditambah penumpang gelap dan pasukan nasi campur",0,0,0,0,1,0,0,政治性讽刺与贬低。使用“kunyuk”指代特定派系支持者，属于轻度网络骚扰,"kunyuk, pasukan nasi campur"
"USER Itu lagi ngomong bacot dalem ati",0,0,0,0,0,0,0,描述心理活动。虽然包含粗口“bacot”，但并非定向网暴他人，属于合规的情绪表达,bacot
"USER Aku pengen jilat memek",0,0,1,0,1,0,0,极其露骨的性骚扰。使用女性生殖器脏话(memek)表达性渴求，严重违反反色情与社区准则,"jilat, memek"
